datetime,flow
2016-04-04 16:00,41040
2016-04-04 20:00,41040
2016-04-05 00:00,37065.6
2016-04-05 04:00,28771.2
2016-04-05 08:00,27561.6
2016-04-05 12:00,26265.6
2016-04-05 16:00,21168
2016-04-05 20:00,18403.2
2016-04-06 00:00,11491.2
2016-04-06 04:00,1382.4
2016-04-06 08:00,691.2
2016-04-06 12:00,432
2016-04-06 16:00,3801.6
2016-04-06 20:00,7344
2016-04-07 00:00,8553.6
2016-04-07 04:00,5788.8
2016-04-07 08:00,2592
2016-04-07 12:00,2332.8
2016-04-07 16:00,6998.4
2016-04-07 20:00,11750.4
2016-04-08 00:00,13996.8
2016-04-08 04:00,14428.8
2016-04-08 08:00,17366.4
2016-04-08 12:00,20131.2
2016-04-08 16:00,17366.4
2016-04-08 20:00,21254.4
2016-04-09 00:00,21686.4
2016-04-09 04:00,23414.4
2016-04-09 08:00,28684.8
2016-04-09 12:00,40435.2
2016-04-09 16:00,50457.6
2016-04-09 20:00,62035.2
2016-04-10 00:00,75772.8
2016-04-10 04:00,84326.4
2016-04-10 08:00,92275.2
2016-04-10 12:00,96940.8
2016-04-10 16:00,96940.8
2016-04-10 20:00,102297.6
2016-04-11 00:00,111715.2
2016-04-11 04:00,117763.2
2016-04-11 08:00,118713.6
2016-04-11 12:00,111110.4
2016-04-11 16:00,100742.4
2016-04-11 20:00,97891.2
2016-04-12 00:00,95126.4
2016-04-12 04:00,88905.6
2016-04-12 08:00,83462.4
2016-04-12 12:00,70675.2
2016-04-12 16:00,60480
2016-04-12 20:00,55728
2016-04-13 00:00,53395.2
2016-04-13 04:00,49852.8
2016-04-13 08:00,45360
2016-04-13 12:00,42768
2016-04-13 16:00,38534.4
2016-04-13 20:00,42508.8
2016-04-14 00:00,50371.2
2016-04-14 04:00,51148.8
2016-04-14 08:00,51926.4
2016-04-14 12:00,43459.2
2016-04-14 16:00,32054.4
2016-04-14 20:00,22982.4
2016-04-15 00:00,17020.8
2016-04-15 04:00,10368
2016-04-15 08:00,7516.8
2016-04-15 12:00,6048
2016-04-15 16:00,2764.8
2016-04-15 20:00,1900.8
2016-04-16 00:00,1468.8
2016-04-16 04:00,864
2016-04-16 08:00,864
2016-04-16 12:00,1900.8
2016-04-16 16:00,1209.6
2016-04-16 20:00,691.2
2016-04-17 00:00,691.2
2016-04-17 04:00,691.2
2016-04-17 08:00,691.2
2016-04-17 12:00,691.2
2016-04-17 16:00,4320
2016-04-17 20:00,11318.4
2016-04-18 00:00,17625.6
2016-04-18 04:00,14515.2
2016-04-18 08:00,12700.8
2016-04-18 12:00,8380.8
2016-04-18 16:00,3888
2016-04-18 20:00,2764.8
2016-04-19 00:00,2246.4
2016-04-19 04:00,2505.6
2016-04-19 08:00,7171.2
2016-04-19 12:00,22464
2016-04-19 16:00,35510.4
2016-04-19 20:00,47088
2016-04-20 00:00,62121.6
2016-04-20 04:00,77846.4
2016-04-20 08:00,89251.2
2016-04-20 12:00,91756.8
2016-04-20 16:00,87436.8
2016-04-20 20:00,87436.8
2016-04-21 00:00,77932.8
2016-04-21 04:00,65404.8
2016-04-21 08:00,53654.4
2016-04-21 12:00,38016
2016-04-21 16:00,29030.4
2016-04-21 20:00,26524.8
2016-04-22 00:00,33955.2
2016-04-22 04:00,38707.2
2016-04-22 08:00,42249.6
2016-04-22 12:00,38793.6
2016-04-22 16:00,35596.8
2016-04-22 20:00,34905.6
2016-04-23 00:00,36720
2016-04-23 04:00,32918.4
2016-04-23 08:00,27993.6
2016-04-23 12:00,25574.4
2016-04-23 16:00,22550.4
2016-04-23 20:00,23155.2
2016-04-24 00:00,24969.6
2016-04-24 04:00,25574.4
2016-04-24 08:00,27993.6
2016-04-24 12:00,25574.4
2016-04-24 16:00,20476.8
2016-04-24 20:00,21081.6
2016-04-25 00:00,17798.4
2016-04-25 04:00,14342.4
2016-04-25 08:00,11923.2
2016-04-25 12:00,8467.2
2016-04-25 16:00,6912
2016-04-25 20:00,10108.8
2016-04-26 00:00,14169.6
2016-04-26 04:00,17280
2016-04-26 08:00,21081.6
2016-04-26 12:00,21081.6
2016-04-26 16:00,17280
2016-04-26 20:00,17798.4
2016-04-27 00:00,15379.2
