 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0176        427350.000    6654890.000        139.525       1   0.0    1.0                  28.800         28.800          6.062   0.0       0.0       0.0
 PPC0177        427350.000    6654920.000        136.696       1   0.0    1.0                  28.800         28.800          5.623   0.0       0.0       0.0
 PPC0178        427350.000    6654950.000        133.730       1   0.0    1.0                  28.800         28.800          4.874   0.0       0.0       0.0
 PPC0179        427350.000    6654980.000        133.244       1   0.0    1.0                  28.800         28.800          5.336   0.0       0.0       0.0
 PPC0180        427350.000    6655010.000        136.311       1   0.0    1.0                  28.800         28.800          7.409   0.0       0.0       0.0
 PPC0181        427350.000    6655040.000        139.265       1   0.0    1.0                  28.800         28.800          8.160   0.0       0.0       0.0
 PPC0182        427350.000    6655070.000        140.544       1   0.0    1.0                  28.800         28.800          7.909   0.0       0.0       0.0
 PPC0183        427350.000    6655100.000        142.216       1   0.0    1.0                  28.800         28.800          7.847   0.0       0.0       0.0
 PPC0184        427350.000    6655130.000        142.851       1   0.0    1.0                  28.800         28.800          6.832   0.0       0.0       0.0
 PPC0185        427350.000    6655160.000        142.923       1   0.0    1.0                  28.800         28.800          6.085   0.0       0.0       0.0
 PPC0186        427350.000    6655190.000        143.376       1   0.0    1.0                  28.800         28.800          6.014   0.0       0.0       0.0
 PPC0187        427350.000    6655220.000        143.456       1   0.0    1.0                  31.782         31.782          6.505   0.0       0.0       0.0
 PPC0188        427380.000    6654740.000        144.672       1   0.0    1.0                  31.782         31.782          7.486   0.0       0.0       0.0
 PPC0189        427380.000    6654770.000        142.968       1   0.0    1.0                  28.800         28.800          4.797   0.0       0.0       0.0
 PPC0190        427380.000    6654800.000        144.163       1   0.0    1.0                  28.800         28.800          5.751   0.0       0.0       0.0
 PPC0191        427380.000    6654830.000        143.321       1   0.0    1.0                  28.800         28.800          6.368   0.0       0.0       0.0
 PPC0192        427380.000    6654860.000        141.730       1   0.0    1.0                  28.800         28.800          6.725   0.0       0.0       0.0
 PPC0193        427380.000    6654890.000        138.738       1   0.0    1.0                  28.800         28.800          6.189   0.0       0.0       0.0
 PPC0194        427380.000    6654920.000        136.521       1   0.0    1.0                  28.800         28.800          5.306   0.0       0.0       0.0
 PPC0195        427380.000    6654950.000        134.269       1   0.0    1.0                  28.800         28.800          4.642   0.0       0.0       0.0
 PPC0196        427380.000    6654980.000        135.330       1   0.0    1.0                  28.800         28.800          5.880   0.0       0.0       0.0
 PPC0197        427380.000    6655010.000        137.534       1   0.0    1.0                  28.800         28.800          7.215   0.0       0.0       0.0
 PPC0198        427380.000    6655040.000        139.851       1   0.0    1.0                  28.800         28.800          8.047   0.0       0.0       0.0
 PPC0199        427380.000    6655070.000        141.225       1   0.0    1.0                  28.800         28.800          8.208   0.0       0.0       0.0
 PPC0200        427380.000    6655100.000        141.629       1   0.0    1.0                  28.800         28.800          7.525   0.0       0.0       0.0
 PPC0201        427380.000    6655130.000        142.587       1   0.0    1.0                  28.800         28.800          6.831   0.0       0.0       0.0
 PPC0202        427380.000    6655160.000        143.266       1   0.0    1.0                  28.800         28.800          6.450   0.0       0.0       0.0
 PPC0203        427380.000    6655190.000        144.707       1   0.0    1.0                  28.800         28.800          6.817   0.0       0.0       0.0
 PPC0204        427380.000    6655220.000        145.340       1   0.0    1.0                  28.800         28.800          6.813   0.0       0.0       0.0
 PPC0205        427380.000    6655250.000        145.229       1   0.0    1.0                  31.782         31.782          6.851   0.0       0.0       0.0
 PPC0206        427410.000    6654770.000        146.338       1   0.0    1.0                  31.782         31.782          7.368   0.0       0.0       0.0
 PPC0207        427410.000    6654800.000        143.989       1   0.0    1.0                  28.800         28.800          6.004   0.0       0.0       0.0
 PPC0208        427410.000    6654830.000        143.641       1   0.0    1.0                  28.800         28.800          5.991   0.0       0.0       0.0
 PPC0209        427410.000    6654860.000        140.419       1   0.0    1.0                  28.800         28.800          6.373   0.0       0.0       0.0
 PPC0210        427410.000    6654890.000        135.760       1   0.0    1.0                  28.800         28.800          4.335   0.0       0.0       0.0
 PPC0211        427410.000    6654920.000        135.907       1   0.0    1.0                  28.800         28.800          4.971   0.0       0.0       0.0
 PPC0212        427410.000    6654950.000        137.043       1   0.0    1.0                  28.800         28.800          6.275   0.0       0.0       0.0
