obsnme,obsval,weight,obgnme
hds_usecol:ni1709-1_time:1.0,137.1583823,1.0,hds_usecol:ni1709-1
hds_usecol:ni1711-1_time:1.0,136.4902014,1.0,hds_usecol:ni1711-1
hds_usecol:ni1712-1_time:1.0,135.6431525,1.0,hds_usecol:ni1712-1
hds_usecol:ni1801-1_time:1.0,133.8593237,1.0,hds_usecol:ni1801-1
hds_usecol:ni1801-3_time:1.0,133.8827152,1.0,hds_usecol:ni1801-3
hds_usecol:ni1802-1_time:1.0,133.9290981,1.0,hds_usecol:ni1802-1
hds_usecol:ni1803-1_time:1.0,133.9627713,1.0,hds_usecol:ni1803-1
hds_usecol:ni1803-3_time:1.0,133.9677005,1.0,hds_usecol:ni1803-3
hds_usecol:ni1804-1_time:1.0,134.025095,1.0,hds_usecol:ni1804-1
hds_usecol:ni1804-3_time:1.0,134.017967,1.0,hds_usecol:ni1804-3
