 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0148        427200.000    6655025.000        136.543       1   0.0    1.0                  24.000         24.000          7.384   0.0       0.0       0.0
 PPC0149        427200.000    6655050.000        137.546       1   0.0    1.0                  24.000         24.000          7.649   0.0       0.0       0.0
 PPC0150        427200.000    6655075.000        137.359       1   0.0    1.0                  26.485         26.485          8.136   0.0       0.0       0.0
 PPC0151        427225.000    6654725.000        134.254       1   0.0    1.0                  24.000         24.000         10.119   0.0       0.0       0.0
 PPC0152        427225.000    6654750.000        132.106       1   0.0    1.0                  24.000         24.000          6.539   0.0       0.0       0.0
 PPC0153        427225.000    6654775.000        132.130       1   0.0    1.0                  24.000         24.000          6.374   0.0       0.0       0.0
 PPC0154        427225.000    6654800.000        132.505       1   0.0    1.0                  24.000         24.000          6.331   0.0       0.0       0.0
 PPC0155        427225.000    6654825.000        133.236       1   0.0    1.0                  24.000         24.000          6.442   0.0       0.0       0.0
 PPC0156        427225.000    6654850.000        135.615       1   0.0    1.0                  24.000         24.000          7.394   0.0       0.0       0.0
 PPC0157        427225.000    6654875.000        136.805       1   0.0    1.0                  24.000         24.000          7.759   0.0       0.0       0.0
 PPC0158        427225.000    6654900.000        133.377       1   0.0    1.0                  24.000         24.000          5.523   0.0       0.0       0.0
 PPC0159        427225.000    6654925.000        132.430       1   0.0    1.0                  24.000         24.000          3.875   0.0       0.0       0.0
 PPC0160        427225.000    6654950.000        132.532       1   0.0    1.0                  24.000         24.000          4.409   0.0       0.0       0.0
 PPC0161        427225.000    6654975.000        135.267       1   0.0    1.0                  24.000         24.000          6.811   0.0       0.0       0.0
 PPC0162        427225.000    6655000.000        136.483       1   0.0    1.0                  24.000         24.000          7.425   0.0       0.0       0.0
 PPC0163        427225.000    6655025.000        137.675       1   0.0    1.0                  24.000         24.000          7.839   0.0       0.0       0.0
 PPC0164        427225.000    6655050.000        138.130       1   0.0    1.0                  24.000         24.000          7.593   0.0       0.0       0.0
 PPC0165        427225.000    6655075.000        138.442       1   0.0    1.0                  24.000         24.000          7.430   0.0       0.0       0.0
 PPC0166        427225.000    6655100.000        138.463       1   0.0    1.0                  26.485         26.485          7.924   0.0       0.0       0.0
 PPC0167        427250.000    6654725.000        134.216       1   0.0    1.0                  24.000         24.000          9.248   0.0       0.0       0.0
 PPC0168        427250.000    6654750.000        132.785       1   0.0    1.0                  24.000         24.000          6.599   0.0       0.0       0.0
 PPC0169        427250.000    6654775.000        133.352       1   0.0    1.0                  24.000         24.000          6.702   0.0       0.0       0.0
 PPC0170        427250.000    6654800.000        133.448       1   0.0    1.0                  24.000         24.000          6.313   0.0       0.0       0.0
 PPC0171        427250.000    6654825.000        134.800       1   0.0    1.0                  24.000         24.000          6.789   0.0       0.0       0.0
 PPC0172        427250.000    6654850.000        136.347       1   0.0    1.0                  24.000         24.000          7.194   0.0       0.0       0.0
 PPC0173        427250.000    6654875.000        137.980       1   0.0    1.0                  24.000         24.000          7.984   0.0       0.0       0.0
 PPC0174        427250.000    6654900.000        135.899       1   0.0    1.0                  24.000         24.000          6.951   0.0       0.0       0.0
 PPC0175        427250.000    6654925.000        132.042       1   0.0    1.0                  24.000         24.000          3.797   0.0       0.0       0.0
 PPC0176        427250.000    6654950.000        132.186       1   0.0    1.0                  24.000         24.000          4.104   0.0       0.0       0.0
 PPC0177        427250.000    6654975.000        134.175       1   0.0    1.0                  24.000         24.000          6.435   0.0       0.0       0.0
 PPC0178        427250.000    6655000.000        136.108       1   0.0    1.0                  24.000         24.000          7.517   0.0       0.0       0.0
