  days  vol_upper      vol_lower      vol_drain      vol_macro      del_vol_upper  del_vol_lower  del_vol_drain  del_vol_macro  rainfall       irrigation     drain_upper    macro_upper    drain_lower    overflow_lower total_rech     gw_withdrawal  net_recharge   runoff         pot_evap_upper evap_upper     pot_evap_lower evap_lower     gw_pot_evap    balance        elevation      depth-to-water 
  1096  2.0934900E-02   0.000000      1.9328362E-03   0.000000     -5.3015384E-03   0.000000     -6.8131391E-04   0.000000      5.2800000E-02   0.000000      5.8215614E-02   0.000000       0.000000       0.000000      5.8215614E-02   0.000000      5.8215614E-02   0.000000      1.0200000E-02  5.6723844E-04   0.000000       0.000000      9.6327616E-03  2.1900884E-17   138.1368       61.86319    
  1127  2.3254280E-02   0.000000      4.3570424E-03   0.000000      2.3193804E-03   0.000000      2.4242062E-03   0.000000      3.4300000E-02   0.000000      2.9233224E-02   0.000000       0.000000       0.000000      2.9233224E-02   0.000000      2.9233224E-02   0.000000      6.3000000E-03  3.2318974E-04   0.000000       0.000000      5.9768103E-03 -3.4694470E-18   138.2084       61.79156    
  1155  2.0879073E-02   0.000000      2.6976686E-03   0.000000     -2.3752077E-03   0.000000     -1.6593737E-03   0.000000      3.9800000E-02   0.000000      4.3232898E-02   0.000000       0.000000       0.000000      4.3232898E-02   0.000000      4.3232898E-02   0.000000      1.1000000E-02  6.0168321E-04   0.000000       0.000000      1.0398317E-02  2.5153490E-17   138.1351       61.86491    
  1186  2.5703824E-02   0.000000      3.5820662E-03   0.000000      4.8247511E-03   0.000000      8.8439757E-04   0.000000      6.1200000E-02   0.000000      5.4377621E-02   0.000000       0.000000       0.000000      5.4377621E-02   0.000000      5.4377621E-02   0.000000      1.9400000E-02  1.1132307E-03   0.000000       0.000000      1.8286769E-02  6.0715322E-18   138.2843       61.71567    
  1216  1.5936046E-02   0.000000      6.1999491E-04   0.000000     -9.7677778E-03   0.000000     -2.9620713E-03   0.000000      1.1000000E-03   0.000000      1.2735425E-02   0.000000       0.000000       0.000000      1.2735425E-02   0.000000      1.2735425E-02   0.000000      2.8200000E-02  1.0944242E-03   0.000000       0.000000      2.7105576E-02 -1.1275703E-17   137.9832       62.01684    
  1247  3.4623928E-02   0.000000      2.7794124E-02   0.000000      1.8687882E-02   0.000000      2.7174130E-02   0.000000      0.1093000       0.000000      5.9780180E-02   0.000000       0.000000       0.000000      5.9780180E-02   0.000000      5.9780180E-02   0.000000      5.9900000E-02  3.6578091E-03   0.000000       0.000000      5.6242191E-02 -3.4694470E-17   138.5627       61.43731    
  1277  2.2118355E-02   0.000000      4.0635680E-03   0.000000     -1.2505573E-02   0.000000     -2.3730556E-02   0.000000      4.9300000E-02   0.000000      8.1082525E-02   0.000000       0.000000       0.000000      8.1082525E-02   0.000000      8.1082525E-02   0.000000      7.6500000E-02  4.4536043E-03   0.000000       0.000000      7.2046396E-02 -6.9388939E-18   138.1733       61.82666    
  1308  2.9701775E-02   0.000000      9.2793797E-03   0.000000      7.5834198E-03   0.000000      5.2158117E-03   0.000000      8.3700000E-02   0.000000      6.6173161E-02   0.000000       0.000000       0.000000      6.6173161E-02   0.000000      6.6173161E-02   0.000000      7.7900000E-02  4.7276077E-03   0.000000       0.000000      7.3172392E-02  3.2092384E-17   138.4087       61.59130    
  1339  2.8656015E-02   0.000000      1.1535457E-02   0.000000     -1.0457603E-03   0.000000      2.2560777E-03   0.000000      0.1049000       0.000000      9.8425834E-02   0.000000       0.000000       0.000000      9.8425834E-02   0.000000      9.8425834E-02   0.000000      8.0000000E-02  5.2638484E-03   0.000000       0.000000      7.4736152E-02 -2.0816682E-17   138.3761       61.62390    
  1369  3.3879008E-02   0.000000      1.0354483E-02   0.000000      5.2229933E-03   0.000000     -1.1809744E-03   0.000000      0.1053000       0.000000      9.7740140E-02   0.000000       0.000000       0.000000      9.7740140E-02   0.000000      9.7740140E-02   0.000000      5.3800000E-02  3.5178415E-03   0.000000       0.000000      5.0282158E-02  2.1684043E-17   138.5393       61.46067    
  1400  2.2116296E-02   0.000000      3.9482646E-03   0.000000     -1.1762712E-02   0.000000     -6.4062184E-03   0.000000      6.8600000E-02   0.000000      8.5030956E-02   0.000000       0.000000       0.000000      8.5030956E-02   0.000000      8.5030956E-02   0.000000      2.8600000E-02  1.7379740E-03   0.000000       0.000000      2.6862026E-02  1.7347235E-18   138.1733       61.82673    
  1430  3.0075558E-02   0.000000      2.3749972E-02   0.000000      7.9592617E-03   0.000000      1.9801707E-02   0.000000      7.3400000E-02   0.000000      4.4574523E-02   0.000000       0.000000       0.000000      4.4574523E-02   0.000000      4.4574523E-02   0.000000      1.8500000E-02  1.0645077E-03   0.000000       0.000000      1.7435492E-02  1.3877788E-17   138.4204       61.57964    
  1461  2.4696219E-02   0.000000      5.8771264E-03   0.000000     -5.3793391E-03   0.000000     -1.7872846E-02   0.000000      6.5400000E-02   0.000000      8.7657979E-02   0.000000       0.000000       0.000000      8.7657979E-02   0.000000      8.7657979E-02   0.000000      1.6400000E-02  9.9420567E-04   0.000000       0.000000      1.5405794E-02  2.0816682E-17   138.2531       61.74692    
 
 total                                                                                                                           2.663600       0.000000       2.564199       0.000000       0.000000       0.000000       2.564199       0.000000       2.564199       0.000000       1.724800      9.8827737E-02   0.000000       0.000000       1.625972      1.8539857E-16
