datetime,stage
2016-03-31 16:00,136.15
2016-03-31 20:00,136.16
2016-04-01 00:00,136.17
2016-04-01 04:00,136.16
2016-04-01 08:00,136.14
2016-04-01 12:00,136.12
2016-04-01 16:00,136.16
2016-04-01 20:00,136.14
2016-04-02 00:00,136.14
2016-04-02 04:00,136.12
2016-04-02 08:00,136.14
2016-04-02 12:00,136.13
2016-04-02 16:00,136.13
2016-04-02 20:00,136.15
2016-04-03 00:00,136.14
2016-04-03 04:00,136.14
2016-04-03 08:00,136.13
2016-04-03 12:00,136.14
2016-04-03 16:00,136.14
2016-04-03 20:00,136.14
2016-04-04 00:00,136.15
2016-04-04 04:00,136.14
2016-04-04 08:00,136.12
2016-04-04 12:00,136.12
2016-04-04 16:00,136.14
2016-04-04 20:00,136.15
2016-04-05 00:00,136.13
2016-04-05 04:00,136.14
2016-04-05 08:00,136.15
2016-04-05 12:00,136.14
2016-04-05 16:00,136.16
2016-04-05 20:00,136.14
2016-04-06 00:00,136.15
2016-04-06 04:00,136.17
2016-04-06 08:00,136.19
2016-04-06 12:00,136.23
2016-04-06 16:00,136.26
2016-04-06 20:00,136.27
2016-04-07 00:00,136.25
2016-04-07 04:00,136.26
2016-04-07 08:00,136.22
2016-04-07 12:00,136.22
2016-04-07 16:00,136.2
2016-04-07 20:00,136.22
2016-04-08 00:00,136.21
2016-04-08 04:00,136.23
2016-04-08 08:00,136.19
2016-04-08 12:00,136.18
2016-04-08 16:00,136.19
2016-04-08 20:00,136.2
2016-04-09 00:00,136.21
2016-04-09 04:00,136.21
2016-04-09 08:00,136.21
2016-04-09 12:00,136.2
2016-04-09 16:00,136.22
2016-04-09 20:00,136.21
2016-04-10 00:00,136.2
2016-04-10 04:00,136.2
2016-04-10 08:00,136.16
2016-04-10 12:00,136.16
2016-04-10 16:00,136.14
2016-04-10 20:00,136.18
2016-04-11 00:00,136.17
2016-04-11 04:00,136.17
2016-04-11 08:00,136.14
2016-04-11 12:00,136.16
2016-04-11 16:00,136.15
2016-04-11 20:00,136.14
2016-04-12 00:00,136.15
2016-04-12 04:00,136.13
2016-04-12 08:00,136.14
2016-04-12 12:00,136.13
2016-04-12 16:00,136.15
2016-04-12 20:00,136.14
2016-04-13 00:00,136.14
2016-04-13 04:00,136.14
2016-04-13 08:00,136.13
2016-04-13 12:00,136.11
2016-04-13 16:00,136.13
2016-04-13 20:00,136.13
2016-04-14 00:00,136.13
2016-04-14 04:00,136.13
2016-04-14 08:00,136.13
2016-04-14 12:00,136.1
2016-04-14 16:00,136.12
2016-04-14 20:00,136.13
2016-04-15 00:00,136.1
2016-04-15 04:00,136.11
2016-04-15 08:00,136.11
2016-04-15 12:00,136.11
2016-04-15 16:00,136.1
2016-04-15 20:00,136.11
2016-04-16 00:00,136.11
2016-04-16 04:00,136.12
2016-04-16 08:00,136.12
2016-04-16 12:00,136.12
2016-04-16 16:00,136.11
2016-04-16 20:00,136.11
2016-04-17 00:00,136.11
2016-04-17 04:00,136.12
2016-04-17 08:00,136.14
