time,B9-2,B10-2,B12-1,B16-1,B2-1,B22-1,B27,B29,KB1-1,KB4-3,NI1301-1,NI1302-1,NI1403-1,NI1405-1,NI1407-1,NI1408-1,NI1409-1,NI1410-1,NI1411-1,NI1412-1,NI1413-1,NI1501-1,NI1502-2,NI1503-2,NI1504-2,NI1505-1,NI1506-1,NI15-O1,NI15-O44,NI15-O46,NI15-O47,NI15-O48,NI1601-1,NI1602-1,NI1603-1,NI1605-1,NI1606-1,NI1607-1,NI1608-1,NI1609-2,NI1610-2,NI1611-1,NI1612-1,NI1613-1,NI1703-1,NI1704-1,NI1705-1,NI1712-1,NI1801-1,NI1802-1,NI1803-1,NI1804-1
608.3333333333,136.3620002,136.1482644,141.7170863,138.7708728,138.6119060,141.6230081,141.9178973,138.8460565,137.4594697,135.7283353,141.9372241,141.7206652,139.6903801,140.2228653,141.1783338,141.1791809,141.2139173,141.6687662,141.8440044,139.4332160,139.0720105,139.2238325,142.1988942,142.2986258,142.1817124,141.8109702,141.7148762,137.0080625,136.8858500,136.0195679,135.5181657,134.6632321,137.8046609,136.5763105,136.5024468,139.9731818,135.9850155,137.0080625,137.2522073,137.1016011,137.0693455,137.2520368,136.9762562,136.5024468,137.1126146,135.4314247,135.6301363,137.6113837,135.3548455,135.3233651,135.4293471,135.4735333
638.7500000000,136.1482118,135.9746560,141.5819164,138.7113407,138.5411433,141.4969363,141.7789466,138.7616240,137.4326596,135.6778539,141.8051189,141.5891814,139.6530807,140.1788159,141.0588426,141.0530255,141.1093876,141.5583480,141.7216270,139.3951169,139.0370394,139.1171835,142.0315843,142.1333019,142.0265361,141.6671248,141.5767704,136.9868909,136.8674967,135.9906914,135.4977781,134.6344992,137.7714464,136.5399686,136.4814180,139.9374675,135.9517159,136.9868909,137.2159463,137.0782714,137.0466880,137.2285684,136.9412113,136.4814180,137.0912291,135.3766406,135.5778663,137.5854924,135.3069860,135.2783978,135.3833814,135.4301493
669.1666666667,136.0761218,135.9148932,141.5306678,138.6889365,138.5143784,141.4490791,141.7264328,138.7295658,137.4230816,135.6599189,141.7552160,141.5393341,139.6392567,140.1623115,141.0132759,141.0049162,141.0695858,141.5164853,141.6753408,139.3810467,139.0242822,139.0766369,141.9687750,142.0713495,141.9682077,141.6126664,141.5244078,136.9794252,136.8609883,135.9801894,135.4905430,134.6243609,137.7593969,136.5270127,136.4739396,139.9241775,135.9398299,136.9794252,137.2031520,137.0700566,137.0387070,137.2203142,136.9287837,136.4739396,137.0836838,135.3573232,135.5593391,137.5763580,135.2901017,135.2625320,135.3671434,135.4148128
699.5833333333,136.2406547,136.0432436,141.6237820,138.7261904,138.5593241,141.5352132,141.8228717,138.7840572,137.4403199,135.6941429,141.8465840,141.6297021,139.6638461,140.1911053,141.0937703,141.0903346,141.1392849,141.5912941,141.7592644,139.4057827,139.0469414,139.1472319,142.0878152,142.1891042,142.0777275,141.7125485,141.6197257,136.9944272,136.8737000,135.9996939,135.5044789,134.6443816,137.7801411,136.5511303,136.4881413,139.9482097,135.9617688,136.9944272,137.2291323,137.0867802,137.0548186,137.2365917,136.9528276,136.4881413,137.0983938,135.3954166,135.5950479,137.5935842,135.3230832,135.2934211,135.3985501,135.4442258
730.0000000000,136.3746580,136.1518846,141.7111678,138.7634055,138.6039740,141.6165867,141.9127251,138.8377072,137.4566166,135.7255851,141.9319102,141.7146481,139.6867444,140.2183931,141.1707847,141.1717662,141.2064042,141.6623204,141.8381816,139.4291464,139.0682791,139.2155308,142.1963131,142.2962507,142.1782292,141.8056607,141.7090550,137.0075206,136.8849790,136.0177829,135.5171036,134.6622753,137.8003777,136.5736585,136.5010790,139.9701442,135.9824006,137.0075206,137.2518204,137.1012513,137.0688476,137.2510088,136.9746397,136.5010790,137.1115087,135.4296367,135.6276317,137.6093469,135.3529051,135.3214123,135.4271484,135.4711712
760.4166666667,136.4336956,136.2010039,141.7533505,138.7820443,138.6262533,141.6560270,141.9559181,138.8643413,137.4645264,135.7405807,141.9729893,141.7556961,139.6978345,140.2317395,141.2083900,141.2114406,141.2393116,141.6968718,141.8763368,139.4405344,139.0786498,139.2490981,142.2477719,142.3470186,142.2260994,141.8504300,141.7521385,137.0135724,136.8902453,136.0264601,135.5230672,134.6706461,137.8103802,136.5845177,136.5072104,139.9806735,135.9923557,137.0135724,137.2623080,137.1079036,137.0753222,137.2577350,136.9849652,136.5072104,137.1176529,135.4457113,135.6430944,137.6168507,135.3669678,135.3346277,135.4406899,135.4839519
790.8333333333,136.2254252,136.0340887,141.6255329,138.7275515,138.5610433,141.5371090,141.8242417,138.7860987,137.4400018,135.6932035,141.8479335,141.6314517,139.6637217,140.1913762,141.0961485,141.0927438,141.1414495,141.5930165,141.7607822,139.4057540,139.0467284,139.1494682,142.0880766,142.1891703,142.0783220,141.7140889,141.6214688,136.9936572,136.8731403,135.9994647,135.5039973,134.6435519,137.7801891,136.5506473,136.4876786,139.9479399,135.9614005,136.9936572,137.2278662,137.0858678,137.0539738,137.2358040,136.9520316,136.4876786,137.0977339,135.3939281,135.5939392,137.5929512,135.3218694,135.2923059,135.3974894,135.4432994
821.2500000000,135.9153795,135.7820656,141.4251364,138.6397707,138.4568022,141.3502583,141.6182966,138.6615522,137.4007984,135.6202013,141.6522214,141.4365611,139.6067724,140.1242851,140.9189959,140.9056488,140.9866090,141.4294984,141.5795471,139.3482003,138.9943739,138.9918634,141.8399995,141.9441519,141.8483327,141.5007595,141.4166823,136.9624999,136.8460683,135.9571880,135.4742811,134.6017844,137.7315537,136.4981529,136.4569095,139.8925603,135.9133256,136.9624999,137.1748728,137.0515244,137.0206524,137.2013758,136.9011428,136.4569095,137.0663283,135.3146426,135.5183356,137.5550854,135.2526472,135.2272746,135.3310507,135.3806343
851.6666666667,136.0207010,135.8640440,141.4807081,138.6636853,138.4849174,141.4018019,141.6758704,138.6950821,137.4125333,135.6420699,141.7068943,141.4905610,139.6242025,140.1442755,140.9672467,140.9567027,141.0287450,141.4745654,141.6299003,139.3655064,139.0101907,139.0345949,141.9108246,142.0143174,141.9136295,141.5602607,141.4735180,136.9723745,136.8545529,135.9695789,135.4833469,134.6146475,137.7456375,136.5136774,136.4663034,139.9099695,135.9274502,136.9723745,137.1914834,137.0624711,137.0312286,137.2122227,136.9166013,136.4663034,137.0761681,135.3389077,135.5411319,137.5667763,135.2737406,135.2470656,135.3511790,135.3995347
882.0833333333,136.0074292,135.8550016,141.4767048,138.6626333,138.4835919,141.3982375,141.6715449,138.6933671,137.4117765,135.6403105,141.7028405,141.4867089,139.6230821,140.1430889,140.9641779,140.9533726,141.0261865,141.4715550,141.6263164,139.3644568,139.0092001,139.0320790,141.9048529,142.0083498,141.9083036,141.5558054,141.4693898,136.9714410,136.8538130,135.9686444,135.4825926,134.6135008,137.7448959,136.5125495,136.4655596,139.9087675,135.9264609,136.9714410,137.1898643,137.0613980,137.0302163,137.2112574,136.9153056,136.4655596,137.0753206,135.3367392,135.5392362,137.5658798,135.2719147,135.2453723,135.3494928,135.3979981
