name,x,y,zone,kh,kv
ppcond0458,427290,6654940,1,86.4,8.64
ppcond0459,427290,6654950,1,86.4,8.64
ppcond0460,427290,6654960,1,86.4,8.64
ppcond0461,427290,6654970,1,86.4,8.64
ppcond0462,427290,6654980,1,86.4,8.64
ppcond0463,427290,6654990,1,86.4,8.64
ppcond0464,427290,6655000,1,86.4,8.64
ppcond0465,427300,6654950,1,86.4,8.64
ppcond0466,427300,6654960,1,86.4,8.64
ppcond0467,427300,6654970,1,86.4,8.64
ppcond0468,427300,6654980,1,86.4,8.64
ppcond0469,427300,6654990,1,86.4,8.64
ppcond0470,427300,6655000,1,86.4,8.64
ppcond0471,427300,6655010,1,86.4,8.64
ppcond0472,427310,6654960,1,86.4,8.64
ppcond0473,427310,6654970,1,86.4,8.64
ppcond0474,427310,6654980,1,86.4,8.64
ppcond0475,427310,6654990,1,86.4,8.64
ppcond0476,427310,6655000,1,86.4,8.64
ppcond0477,427310,6655010,1,86.4,8.64
ppcond0478,427320,6654970,1,86.4,8.64
ppcond0479,427320,6654980,1,86.4,8.64
ppcond0480,427320,6654990,1,86.4,8.64
ppcond0481,427320,6655000,1,86.4,8.64
ppcond0482,427320,6655010,1,86.4,8.64
ppcond0483,427330,6654960,1,86.4,8.64
ppcond0484,427330,6654970,1,86.4,8.64
ppcond0485,427330,6654980,1,86.4,8.64
ppcond0486,427330,6654990,1,86.4,8.64
ppcond0487,427330,6655000,1,86.4,8.64
ppcond0488,427340,6654950,1,86.4,8.64
ppcond0489,427340,6654960,1,86.4,8.64
ppcond0490,427340,6654970,1,86.4,8.64
ppcond0491,427340,6654980,1,86.4,8.64
ppcond0492,427340,6654990,1,86.4,8.64
ppcond0493,427340,6655000,1,86.4,8.64
ppcond0494,427350,6654950,1,86.4,8.64
ppcond0495,427350,6654960,1,86.4,8.64
ppcond0496,427350,6654970,1,86.4,8.64
ppcond0497,427350,6654980,1,86.4,8.64
ppcond0498,427350,6654990,1,86.4,8.64
ppcond0499,427350,6655000,1,86.4,8.64
ppcond0500,427360,6654950,1,86.4,8.64
ppcond0501,427360,6654960,1,86.4,8.64
ppcond0502,427360,6654970,1,86.4,8.64
ppcond0503,427360,6654980,1,86.4,8.64
ppcond0504,427360,6654990,1,86.4,8.64
ppcond0505,427367.2483,6654934.285,1,86.4,8.64
ppcond0506,427370,6654950,1,86.4,8.64
ppcond0507,427370,6654960,1,86.4,8.64
ppcond0508,427370,6654970,1,86.4,8.64
ppcond0509,427380,6654910,1,86.4,8.64
ppcond0510,427380,6654920,1,86.4,8.64
ppcond0511,427380,6654930,1,86.4,8.64
ppcond0512,427380,6654940,1,86.4,8.64
ppcond0513,427380,6654950,1,86.4,8.64
ppcond0514,427380,6654960,1,86.4,8.64
ppcond0515,427390,6654900,1,86.4,8.64
ppcond0516,427390,6654910,1,86.4,8.64
ppcond0517,427390,6654920,1,86.4,8.64
ppcond0518,427390,6654930,1,86.4,8.64
ppcond0519,427390,6654940,1,86.4,8.64
ppcond0520,427390,6654950,1,86.4,8.64
ppcond0521,427400,6654900,1,86.4,8.64
ppcond0522,427400,6654910,1,86.4,8.64
ppcond0523,427400,6654920,1,86.4,8.64
ppcond0524,427400,6654930,1,86.4,8.64
ppcond0525,427400,6654940,1,86.4,8.64
ppcond0526,427358.4061,6654870.156,1,86.4,8.64
ppcond0527,427410,6654900,1,86.4,8.64
ppcond0528,427410,6654910,1,86.4,8.64
ppcond0529,427410,6654920,1,86.4,8.64
ppcond0530,427420,6654890,1,86.4,8.64
ppcond0531,427420,6654900,1,86.4,8.64
ppcond0532,427420,6654910,1,86.4,8.64
ppcond0533,427300.9492,6655030.005,1,86.4,8.64
ppcond0534,427430,6654896.031,1,86.4,8.64
ppcond0535,427430,6654910,1,86.4,8.64
ppcond0536,427440,6654890,1,86.4,8.64
ppcond0537,427440,6654900,1,86.4,8.64
ppcond0538,427440,6654910,1,86.4,8.64
ppcond0539,427409.5187,6654882.856,1,86.4,8.64
ppcond0540,427450.2646,6654897.354,1,86.4,8.64
ppcond0541,427450,6654910,1,86.4,8.64
ppcond0542,427460,6654890,1,86.4,8.64
ppcond0543,427460,6654900,1,86.4,8.64
ppcond0544,427460,6654910,1,86.4,8.64
ppcond0545,427460,6654920,1,86.4,8.64
ppcond0546,427460,6654930,1,86.4,8.64
ppcond0547,427470,6654900,1,86.4,8.64
ppcond0548,427470,6654910,1,86.4,8.64
ppcond0549,427470,6654920,1,86.4,8.64
ppcond0550,427450.1562,6654960.427,1,86.4,8.64
ppcond0551,427470,6654940,1,86.4,8.64
ppcond0552,427470,6654950,1,86.4,8.64
ppcond0553,427480,6654910,1,86.4,8.64
ppcond0554,427480,6654920,1,86.4,8.64
ppcond0555,427480,6654930,1,86.4,8.64
ppcond0556,427480,6654940,1,86.4,8.64
ppcond0557,427480,6654950,1,86.4,8.64
ppcond0558,427480,6654960,1,86.4,8.64
ppcond0559,427469.9987,6654970.132,1,86.4,8.64
ppcond0560,427471.745,6654999.788,1,86.4,8.64
ppcond0561,427480,6655010,1,86.4,8.64
ppcond0562,427490,6654930,1,86.4,8.64
ppcond0563,427490,6654940,1,86.4,8.64
