 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0192         427242.426    6655022.760       1  0.0     1.0             36.544   1.0       0.0
 PP0193         427277.782    6655058.110       1  0.0     1.0             36.546   1.0       0.0
 PP0194         427313.137    6655093.470       1  0.0     1.0             36.543   1.0       0.0
 PP0195         427348.492    6655128.820       1  0.0     1.0             36.546   1.0       0.0
 PP0196         427383.848    6655164.180       1  0.0     1.0             36.543   1.0       0.0
 PP0197         427419.203    6655199.530       1  0.0     1.0             36.546   1.0       0.0
 PP0198         427454.558    6655234.890       1  0.0     1.0             36.543   1.0       0.0
 PP0199         427489.914    6655270.240       1  0.0     1.0             45.645   1.0       0.0
 PP0200         426987.868    6654754.060       1  0.0     1.0             36.289   1.0       0.0
 PP0201         427023.223    6654789.410       1  0.0     1.0             36.289   1.0       0.0
 PP0202         427058.579    6654824.770       1  0.0     1.0             36.288   1.0       0.0
 PP0203         427093.934    6654860.120       1  0.0     1.0             36.288   1.0       0.0
 PP0204         427129.289    6654895.480       1  0.0     1.0             36.287   1.0       0.0
 PP0205         427164.645    6654930.830       1  0.0     1.0             25.028   1.0       0.0
 PP0206         427182.322    6654944.970       1  0.0     1.0             25.229   1.0       0.0
 PP0207         427214.142    6654980.330       1  0.0     1.0             36.421   1.0       0.0
 PP0208         427249.497    6655015.690       1  0.0     1.0             36.422   1.0       0.0
 PP0209         427284.853    6655051.040       1  0.0     1.0             36.421   1.0       0.0
 PP0210         427320.208    6655086.400       1  0.0     1.0             36.420   1.0       0.0
 PP0211         427355.564    6655121.750       1  0.0     1.0             36.420   1.0       0.0
 PP0212         427390.919    6655157.110       1  0.0     1.0             36.420   1.0       0.0
 PP0213         427426.274    6655192.460       1  0.0     1.0             36.419   1.0       0.0
 PP0214         427461.630    6655227.820       1  0.0     1.0             36.421   1.0       0.0
 PP0215         427496.985    6655263.170       1  0.0     1.0             44.060   1.0       0.0
 PP0216         426994.939    6654746.980       1  0.0     1.0             35.711   1.0       0.0
